"objeto","tipo","situacao","chars_prod","chars_homo"
"f_GetColumnData","SQL_SCALAR_FUNCTION","so em PRODUCAO","1363",""
"f_IntervaloNum","SQL_SCALAR_FUNCTION","so em PRODUCAO","297",""
"f_IntervaloNumX","SQL_SCALAR_FUNCTION","so em PRODUCAO","460",""
"f_IV_UltimoResHistProcesso","SQL_SCALAR_FUNCTION","so em PRODUCAO","1303",""
"f_s_Campo","SQL_SCALAR_FUNCTION","so em PRODUCAO","455",""
"f_s_Dado","SQL_SCALAR_FUNCTION","so em PRODUCAO","484",""
"f_s_Dado_N","SQL_SCALAR_FUNCTION","so em PRODUCAO","275",""
"fC5_ColDate","SQL_SCALAR_FUNCTION","so em PRODUCAO","391",""
"fC5_ColNumber","SQL_SCALAR_FUNCTION","so em PRODUCAO","381",""
"fC5_ColString","SQL_SCALAR_FUNCTION","so em PRODUCAO","564",""
"fcnDiasUteis","SQL_SCALAR_FUNCTION","so em PRODUCAO","806",""
"fiv_GetGrupoUsr","SQL_SCALAR_FUNCTION","so em PRODUCAO","802",""
"fIV_GetPessoaFones","SQL_SCALAR_FUNCTION","so em PRODUCAO","1803",""
"fiv_GetProdutoEstrutura","SQL_SCALAR_FUNCTION","so em PRODUCAO","1060",""
"fIV_GetProdutoProcesso","SQL_SCALAR_FUNCTION","so em PRODUCAO","741",""
"fIV_GetResultadoAcao","SQL_SCALAR_FUNCTION","so em PRODUCAO","711",""
"fIV_GetStatusNaData","SQL_SCALAR_FUNCTION","so em PRODUCAO","605",""
"fIV_GetStatusOrdNaData","SQL_SCALAR_FUNCTION","so em PRODUCAO","730",""
"fn_ContaHoras","SQL_SCALAR_FUNCTION","so em PRODUCAO","914",""
"fn_diagramobjects","SQL_SCALAR_FUNCTION","TEXTO DIFERENTE","1693","0"
"fn_RightCase","SQL_SCALAR_FUNCTION","so em PRODUCAO","673",""
"fn_RightCaseProprio","SQL_SCALAR_FUNCTION","so em PRODUCAO","933",""
"fn_StripCharacters","SQL_SCALAR_FUNCTION","so em PRODUCAO","366",""
"fva_CGCCPFFormat","SQL_SCALAR_FUNCTION","so em PRODUCAO","896",""
"fva_DateTimeFromParts","SQL_SCALAR_FUNCTION","so em PRODUCAO","609",""
"fva_DateTrunc","SQL_SCALAR_FUNCTION","so em PRODUCAO","153",""
"fva_Dinheiro","SQL_SCALAR_FUNCTION","so em PRODUCAO","1181",""
"fva_FmtNum","SQL_SCALAR_FUNCTION","so em PRODUCAO","2105",""
"fva_FormatMoney","SQL_SCALAR_FUNCTION","so em PRODUCAO","219",""
"fva_GetData","SQL_SCALAR_FUNCTION","so em PRODUCAO","226",""
"fva_GetExisteProcessolink","SQL_SCALAR_FUNCTION","so em PRODUCAO","585",""
"fva_GetHistoricoTag","SQL_SCALAR_FUNCTION","so em PRODUCAO","718",""
"fva_GetHora","SQL_SCALAR_FUNCTION","so em PRODUCAO","387",""
"fva_GetPessoaEndereco","SQL_SCALAR_FUNCTION","so em PRODUCAO","1815",""
"fva_GetPessoaFones","SQL_SCALAR_FUNCTION","so em PRODUCAO","2432",""
"fva_GetProcessoTag","SQL_SCALAR_FUNCTION","so em PRODUCAO","700",""
"fva_GetProdutoProcesso","SQL_SCALAR_FUNCTION","so em PRODUCAO","705",""
"fva_InitCap","SQL_SCALAR_FUNCTION","so em PRODUCAO","953",""
"fva_IntervaloDataB","SQL_SCALAR_FUNCTION","so em PRODUCAO","305",""
