"fk_id","fk_nome","parent_object_id","tabela_origem","tabela_ref","acao_exclusao","acao_atualizacao","is_disabled","is_not_trusted"
"915586400","FK__IVF_Plano__SeqTa__3692BD60","1243151474","IVF_Plano","IVF_Tabela","CASCADE","NO_ACTION","False","False"
"919062410","FK__GEP_Notif__SeqPr__36C7C78A","1362103893","GEP_Notificar","GEP_Processo","CASCADE","NO_ACTION","False","False"
"931586457","FK__IVF_Plano__Proce__3786E199","1275151588","IVF_PlanoIndic","IV_FichaNegVeic","CASCADE","NO_ACTION","False","False"
"935062467","FK__GEP_ParRe__Orige__37BBEBC3","1122155093","GEP_ParRecEnvia","GEP_ParRecebe","CASCADE","NO_ACTION","False","False"
"941402573","FK__IV_Q_GAR___SEQQU__381CA9CD","909402459","IV_Q_GAR_FAB_SOL_PECA","IV_Questionario","CASCADE","NO_ACTION","False","False"
"946974600","FK__IV_Q_VEND__SEQQU__3871AF88","914974486","IV_Q_VENDA_DSI","IV_Questionario","CASCADE","NO_ACTION","False","False"
"947586514","FK__IVF_Plano__SeqFi__387B05D2","1275151588","IVF_PlanoIndic","IVF_Financeira","NO_ACTION","NO_ACTION","False","False"
"949734586","FK__IV_Agenda__SEQTX__389BCCBA","1337211964","IV_AgendaCtrl","IV_TxtPadrao","NO_ACTION","NO_ACTION","False","False"
"1299587768","FK__IVS_Depto__CodPr__4D7622B8","1787153412","IVS_Depto","IV_CodProcesso","NO_ACTION","NO_ACTION","False","False"
"1299639823","FK__GE_MOBILE__SEQMO__4D76EE0F","1267639709","GE_MOBILEPROP","GE_MobileConfig","CASCADE","NO_ACTION","False","False"
"1303779802","FK__EXT_VeicF__SeqPr__4DB619DA","343776382","EXT_VeicFam","IV_Propriedade","NO_ACTION","NO_ACTION","False","False"
"1310015798","FK__IV_CampPe__SeqCa__4E154136","1246015570","IV_CampPesMsg","IV_CampPessoa","CASCADE","NO_ACTION","False","False"
"1315587825","FK__IVS_Depto__SeqSe__4E6A46F1","1787153412","IVS_Depto","IVS_Segm","NO_ACTION","NO_ACTION","False","False"
"1315639880","FK__GE_MOBILE__SEQPR__4E6B1248","1267639709","GE_MOBILEPROP","IV_Propriedade","CASCADE","NO_ACTION","False","False"
"1319063835","FK__IV_AtdBlo__SeqUs__4E9F511B","1842105603","IV_AtdBloq","GE_Usuario","CASCADE","NO_ACTION","False","False"
"1325403941","FK__IV_Q_RETO__SEQQU__4F000F25","1293403827","IV_Q_RETORNADO_JD","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1331587882","FK__IVS_Depto__SeqUs__4F5E6B2A","1787153412","IVS_Depto","GE_Usuario","NO_ACTION","NO_ACTION","False","False"
"1333631844","FK__IV_Q_AFE___SEQQU__4F7D9B64","1301631730","IV_Q_AFE_VENDA_MQ_IM_USAD","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1335063892","FK__IV_Atende__SeqPe__4F937554","1874105717","IV_Atendente","IV_SegPerfil","NO_ACTION","NO_ACTION","False","False"
"165731793","FK__IV_Q_RESU__SEQQU__09E0DDD1","133731679","IV_Q_RESULTADO_DEMO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"167059731","FK__GE_Pessoa__SeqRo__09F52113","1957582012","GE_Pessoa","GE_Rota","NO_ACTION","NO_ACTION","False","False"
"170639851","FK__IV_Q_ATUA__SEQQU__0A2BC1EB","138639737","IV_Q_ATUALIZACAO_PUK","IV_Questionario","CASCADE","NO_ACTION","False","False"
"172019844","FK__IV_Q_REVI__SEQQU__0A40D084","140019730","IV_Q_REVISAO_FIM_GARANTIA","IV_Questionario","CASCADE","NO_ACTION","False","False"
"173399837","FK__IV_Q_APRO__SEQQU__0A55DF1D","141399723","IV_Q_APROVACAO_TCSM","IV_Questionario","CASCADE","NO_ACTION","False","False"
"176875847","FK__IV_Q_INTE__SEQQU__0A8AE947","144875733","IV_Q_INTERESSE_PROJETO_IR","IV_Questionario","CASCADE","NO_ACTION","False","False"
"180963771","FK__IVP_TabPr__SeqDe__0AC949BB","132963600","IVP_TabPreco","IVS_Depto","NO_ACTION","NO_ACTION","False","False"
"184491836","FK__IVS_Pes__SeqDept__0AFF1F3C","152491722","IVS_Pes","IVS_Depto","NO_ACTION","NO_ACTION","False","False"
"184543891","FK__IV_Q_CANC__SEQQU__0AFFEA93","152543777","IV_Q_CANCEL_RENOVACAO_SEG","IV_Questionario","CASCADE","NO_ACTION","False","False"
"185155805","FK__IVS_Depto__SeqUs__0B0940DD","905106315","IVS_DeptoEmpr","GE_Usuario","NO_ACTION","NO_ACTION","False","False"
"187303877","FK__IV_Q_TEST__SEQQU__0B2A07C5","155303763","IV_Q_TESTE1","IV_Questionario","CASCADE","NO_ACTION","False","False"
"192055770","FK__IV_Q_ORIG__SEQQU__0B7289DA","160055656","IV_Q_ORIGEM_DA_RENDA","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1003202674","FK__IV_Q_RECE__SEQQU__3BCBA872","971202560","IV_Q_RECEB_FINAN_IMPLEM","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1006014715","FK__JDE_QUOTE__quote__3BF690FB","862014202","JDE_QUOTE_ITEM","JDE_QUOTE","NO_ACTION","NO_ACTION","False","False"
"1008162787","FK__IV_PUSH__SEQPESS__3C1757E3","960162616","IV_PUSH","GE_Pessoa","NO_ACTION","NO_ACTION","False","False"
"1011586742","FK__IVF_Propo__Proce__3C4B96B6","1339151816","IVF_Proposta","IV_FichaNegVeic","NO_ACTION","NO_ACTION","False","False"
"1015062752","FK__IV_AcaoAut__Acao__3C80A0E0","1522104463","IV_AcaoAuto","IV_Acao","CASCADE","NO_ACTION","False","False"
"1017210824","FK__IV_Q_AFER__SEQQU__3CA167C8","985210710","IV_Q_AFERICAO_MAQ_1_WEB","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1022014772","FK__JDE_QUOTE__EQUIP__3CEAB534","862014202","JDE_QUOTE_ITEM","JDE_EQUIPAMENTS","NO_ACTION","NO_ACTION","False","False"
"1024162844","FK__IV_PUSH__PROCESS__3D0B7C1C","960162616","IV_PUSH","IV_ProcDado","NO_ACTION","NO_ACTION","False","False"
"1025594892","FK__IV_Q_VP_S__SEQQU__3D21560C","993594778","IV_Q_VP_SEM_PARTICIPACAO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1026870775","FK__IV_Q_ACOM__SEQQU__3D34CDF7","994870661","IV_Q_ACOMPANH_VENDA_JDE","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1027586799","FK__IVF_Propo__SeqPr__3D3FBAEF","1371151930","IVF_PropostaHst","IVF_Proposta","CASCADE","NO_ACTION","False","False"
"1029734871","FK__IV_LEADFA__SEQLE__3D6081D7","997734757","IV_LEADFACEITEM","IV_LEADFACEBOOK","CASCADE","NO_ACTION","False","False"
"1031062809","FK__IV_AcaoAu__Resul__3D74C519","1522104463","IV_AcaoAuto","IV_Resultado","CASCADE","NO_ACTION","False","False"
"1038014829","FK__JDE_PURCH__SeqQu__3DDED96D","798013974","JDE_PURCHASE","IV_Questionario","NO_ACTION","NO_ACTION","False","False"
"1040110846","FK__GE_Permis__NroEm__3DFED4FE","1925581898","GE_Permissao","GE_Empresa","NO_ACTION","NO_ACTION","False","False"
"1043586856","FK__IVF_Propo__SeqPr__3E33DF28","700581584","IVF_PropostaObs","IVF_Proposta","CASCADE","NO_ACTION","False","False"
"1047062866","FK__IV_AcaoCtr__Acao__3E68E952","1554104577","IV_AcaoCtrl","IV_Acao","CASCADE","NO_ACTION","False","False"
"1048546969","FK__IV_Q_VP_P__SEQQU__3E7F8E99","1016546855","IV_Q_VP_PLANTADEIRA","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1050538876","FK__IV_Q_SERV__SEQQU__3E9DF37C","1018538762","IV_Q_SERVICOS_AFERICAO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1051970924","FK__GE_Bairro__SeqCi__3EB3CD6C","885578193","GE_Bairro","GE_Cidade","CASCADE","NO_ACTION","False","False"
"1589632756","FK__IV_Q_DEMO__SEQQU__5EBFDEF4","1557632642","IV_Q_DEMONSTR_COLHEITAD","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1591064804","FK__IV_CobrCr__SeqCo__5ED5B8E4","238623893","IV_CobrCritAgd","IV_CobrCritMon","NO_ACTION","NO_ACTION","False","False"
"1591832883","FK__IVS_Pes__SEQPOTE__5EE17133","152491722","IVS_Pes","IVS_DEPTOPOT","NO_ACTION","NO_ACTION","False","False"
"1607064861","FK__IV_CobrCr__SeqAg__5FC9DD1D","238623893","IV_CobrCritAgd","IV_Agenda","CASCADE","NO_ACTION","False","False"
"1610540871","FK__DMN_DocPr__SeqPr__5FFEE747","967010526","DMN_DocProj","IV_Projeto","CASCADE","NO_ACTION","False","False"
"1614016881","FK__GEP_UsrSa__SeqMo__6033F171","1081106942","GEP_UsrSat","GE_MobileConfig","NO_ACTION","NO_ACTION","False","False"
"1615500984","FK__IV_Q_REVI__SEQQU__604A96B8","1583500870","IV_Q_REVISAO_100H","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1616164953","FK__IV_Q_AVAL__SEQQU__6054B859","1584164839","IV_Q_AVALIA_IMPLEM_USADO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1617544946","FK__IV_Q_AFER__SEQQU__6069C6F2","1585544832","IV_Q_AFERICAO_SUPORTE_INT","IV_Questionario","CASCADE","NO_ACTION","False","False"
