"SeqCampanha","Campanha","Descricao","Detalhe","Grupo","DtaInicio","DtaFim","EmUso","UsuInclusao","DtaInclusao","UsuAlteracao","DtaAlteracao","ProvedorSmsPL","Resultado","PrioridadeMail2Easy","DetHistorico","PRIORIDADEALLIN","PRIORIDADEEMAIL","PRIORIDADESMS","PRIORIDADECORREIO","SEQTXTPADRAO","INDINTERATIVO","CODCAMPANHA","SEQCONTEUDO","SEQFORMULARIO","SEQEMAILTEMPLATE","PROVEDOREMAILPL","EMAILHORAINI","EMAILHORAFIM","SMSHORAINI","SMSHORAFIM","QTDMSG","IDULTUPLOAD"
"172","PROSP_SEEDZ","PROSPECÇÃO SEEDZ","PROSPECÇÃO SEEDZ PEÇAS","VENDAS","08/05/2023 00:00:00","31/12/2023 00:00:00","0","VANESSA.ALVES","08/05/2023 00:00:00","VANESSA.ALVES","08/05/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"173","HORA_DA_INSPEÇÃO","HORA DA INSPEÇÃO","HORA DA INSPEÇÃO","VENDAS","08/05/2023 00:00:00","31/12/2023 00:00:00","0","VANESSA.ALVES","08/05/2023 00:00:00","VANESSA.ALVES","08/05/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"174","INATIVO PEÇAS","INATIVO PEÇAS","Clientes potencial de peças porém sem histórico de compra nos últimos 3 meses.","VENDAS","11/09/2023 00:00:00","31/12/2030 00:00:00","0","VANESSA.ALVES","11/09/2023 00:00:00","VANESSA.ALVES","11/09/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"175","POTENCIAL_PEÇAS","POTENCIAL_PEÇAS","Clientes com histórico de compra peças ou serviços porém sem vinculo a carteira de peças","VENDAS","11/09/2023 00:00:00","31/12/2030 00:00:00","0","VANESSA.ALVES","11/09/2023 00:00:00","VANESSA.ALVES","11/09/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"176","OXBO23","OXBO_23","Dedicação exclusiva do Tasso até final do ano a partir de 02/10/2023
Campanha de Vendas OXBO (Preço / Prazo / ETC)
Entregar propostas com condições e preços diferenciados até 310/10/2023","VENDAS","01/10/2023 00:00:00","01/12/2023 00:00:00","0","VANESSA.ALVES","26/09/2023 00:00:00","VANESSA.ALVES","26/09/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"177","SEGURO_RENOVAÇÃO","SEGURO_RENOVAÇÃO","Cliente com historico de compra de seguros, ofertar renovação da apólice","VENDAS","01/01/1800 00:00:00","31/12/2030 00:00:00","0","VANESSA.ALVES","29/09/2023 00:00:00","VANESSA.ALVES","29/09/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"178","SEGURO_PROSPECÇÃO","SEGURO_PROSPECÇÃO","Clientes com potencial de compra de seguro para máquinas usadas.","VENDAS","05/06/2024 00:00:00","31/12/2025 00:00:00","0","VANESSA.ALVES","29/09/2023 00:00:00","VANESSA.ALVES","29/09/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"184","SEGURO_USADO_PROSPECÇÃO","SEGURO_USADO_PROSPECÇÃO","Clientes com ptencial para venda de seguros de máquinas usadas","VENDAS","01/01/1800 00:00:00","31/12/2025 00:00:00","0","VANESSA.ALVES","29/09/2023 00:00:00","VANESSA.ALVES","29/09/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"185","INATIVOS_PEÇAS23","INATIVOS_PEÇAS23","Clientes na carteira de peças porém sem historico de compra nos último 3 meses","VENDAS","20/10/2023 00:00:00","31/12/2023 00:00:00","0","VANESSA.ALVES","20/10/2023 00:00:00","VANESSA.ALVES","20/10/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"186","TESE","TESTE","TESTE DE CAMPANHA GUILHERME","VENDAS","21/10/2023 00:00:00","21/12/2023 00:00:00","0","GUILHERME.PENNA","20/10/2023 00:00:00","GUILHERME.PENNA","20/10/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"187","TESTE GUI","TESTE GUI","CAMPANAH TESTE GUILHERME","VENDAS","20/10/2023 00:00:00","31/12/2023 00:00:00","0","GUILHERME.PENNA","20/10/2023 00:00:00","GUILHERME.PENNA","20/10/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"188","ARENA DE VENDAS 2023","ARENA DE VENDAS 2023","Ação comercial onde toda a carteira ativa de máquina receberá um contato convidando para um dia especial de condições exclusivas.","VENDAS","06/11/2023 00:00:00","31/12/2023 00:00:00","0","VANESSA.ALVES","06/11/2023 00:00:00","VANESSA.ALVES","06/11/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
