"SeqAcaoAuto","Pcte","NroEmpresa","Resultado","ResultadoCmpl","Acao","SeqUsuario","AssuntoCmpl","Operacao","UsaObjDyn","Exigida","GerarPara","FormaGeracao","QtdeDias","QtdeHU","Departamento","AtivoReceptivo","FormaPrimCont","Prioridade","SemConfirmacao","TipoAgendamento","Mesmoprocesso","SeqOrder","CHKSUM","QuebraDNA","EXIGESCOLHAATDGRPO","INDGERAPARAPESPRC","EMUSO","PROPAGAFORMTRAB","SOLICDATAAGD","HORAAGENDA"
"8714","","3","3439","","807","1124","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8715","","9","3439","","807","1123","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8716","","14","3439","","807","1256","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8717","","11","3439","","807","1125","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8718","","4","3439","","807","1158","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8719","","12","3439","","807","1127","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8720","","5","3439","","807","1159","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8721","","15","3439","","807","1257","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8722","","10","3439","","807","1160","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8723","","18","3439","","807","1260","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8724","","7","3439","","807","1122","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8725","","1","3439","","807","1121","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8726","","13","3439","","807","1255","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8727","","17","3439","","807","1259","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8728","","16","3439","","807","1258","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8729","","","3440","Financiado / Consórcio","814","869","Fat Realizado - Financiado / Consórcio","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8730","","2","3440","Recurso Próprio","846","1126","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8731","","3","3440","Recurso Próprio","846","1124","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8732","","9","3440","Recurso Próprio","846","1123","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8733","","14","3440","Recurso Próprio","846","1256","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8734","","11","3440","Recurso Próprio","846","1125","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8735","","4","3440","Recurso Próprio","846","1158","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8736","","12","3440","Recurso Próprio","846","1127","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8737","","5","3440","Recurso Próprio","846","1159","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8738","","15","3440","Recurso Próprio","846","1257","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8739","","10","3440","Recurso Próprio","846","1160","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8740","","18","3440","Recurso Próprio","846","1260","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8741","","7","3440","Recurso Próprio","846","1122","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8742","","1","3440","Recurso Próprio","846","1121","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8743","","13","3440","Recurso Próprio","846","1255","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8744","","17","3440","Recurso Próprio","846","1259","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8745","","16","3440","Recurso Próprio","846","1258","","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8746","","2","3441","","772","1126","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8747","","3","3441","","772","1124","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8748","","9","3441","","772","1123","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8749","","14","3441","","772","1256","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8750","","11","3441","","772","1125","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8751","","4","3441","","772","1158","Alterada Forma de Pagto","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
