"SeqRegra","SeqCons","Regra","Ordem","Condicao","Acao1","Acao2"
"20","87","SE_RECPED_FORAPRAZO","01","[[REC_PED]] > 35","[[REC_PED]] [COR_FUNDO] #COR=255","[[REC_PED]] [COR_TEXTO] #COR=16777215"
"21","87","SE_RECPED_NOPRAZO","01","[[REC_PED]] = 35","[[REC_PED]] [COR_FUNDO] #COR=65535","[[REC_PED]] [COR_TEXTO] #COR=0"
"22","87","SE_DISP_ANTESPRAZO","01","[[DISP]] < 1 and [[DISP]] >= 0","[[DISP]] [COR_FUNDO] #COR=32768","[[DISP]] [COR_TEXTO] #COR=16777215"
"23","87","SE_DISP_FORAPRAZO","01","[[DISP]] > 0","[[DISP]] [COR_FUNDO] #COR=255","[[DISP]] [COR_TEXTO] #COR=16777215"
"24","87","SE_DISP_NOPRAZO","01","[[DISP]] = 0","[[DISP]] [COR_FUNDO] #COR=65535","[[DISP]] [COR_TEXTO] #COR=0"
"25","87","SE_INFAG_ANTESPRAZO","01","[[INF_AG]] < 2 and [[INF_AG]] >= 0","[[INF_AG]] [COR_FUNDO] #COR=32768","[[INF_AG]] [COR_TEXTO] #COR=16777215"
"26","87","SE_INF_AG_FORAPRAZO","01","[[INF_AG]] > 2","[[INF_AG]] [COR_FUNDO] #COR=255","[[INF_AG]] [COR_TEXTO] #COR=16777215"
"27","87","SE_INF_AG_NOPRAZO","01","[[INF_AG]] = 2","[[INF_AG]] [COR_FUNDO] #COR=65535","[[INF_AG]] [COR_TEXTO] #COR=0"
"28","87","SE_CHINT_ANTESPRAZO","01","[[CHEC_INT]] < 2 and [[CHEC_INT]] >= 0","[[CHEC_INT]][COR_FUNDO] #COR=32768","[[CHEC_INT]][COR_TEXTO] #COR=16777215"
"29","87","SE_CHINT_FORAPRAZO","01","[[CHEC_INT]] > 2","[[CHEC_INT]] [COR_FUNDO] #COR=255","[[CHEC_INT]] [COR_TEXTO] #COR=16777215"
"30","87","SE_CHINT_NOPRAZO","01","[[CHEC_INT]] = 2","[[CHEC_INT]] [COR_FUNDO] #COR=65535","[[CHEC_INT]] [COR_TEXTO] #COR=0"
"31","87","SE_PREENT_ANTESPRAZO","01","[[PRE_ENT]] < 3 and [[PRE_ENT]] >= 0","[[PRE_ENT]] [COR_FUNDO] #COR=32768","[[PRE_ENT]] [COR_TEXTO] #COR=16777215"
"32","87","SE_PREENT_FORAPRAZO","01","[[PRE_ENT]] > 3","[[PRE_ENT]] [COR_FUNDO] #COR=255","[[PRE_ENT]] [COR_TEXTO] #COR=16777215"
"33","87","SE_PREENT_NOPRAZO","01","[[PRE_ENT]] = 3","[[PRE_ENT]] [COR_FUNDO] #COR=65535","[[PRE_ENT]] [COR_TEXTO] #COR=0"
