"SeqResMsgPapel","Resultado","AtitudeUsr","NroEmpresa","ResultadoCmpl","Grupo","Ordem","TipoDest","Papel","Canal","SeqTxtPadrao","Template","Remetente","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","PesFormulario","PesResultado","QTDEDIAS","QTDEHU","SEQCONTAENVIO","TIPOPREFENVIO","INDENVIAQLQERHORA","EMUSO","PRIORIDADE","DESCRICAOMENSAGEM","OBJETIVOMSG"
"470","330"," ","2","","1","1","USR","244","EML","66","","","25/04/2017 15:22:38","VANESSA.ALVES","30/01/2018 10:07:07","VANESSA.ALVES","","","","","","","","1","5","",""
"471","731"," ","","","1","1","USR","241","EML","69","","","25/04/2017 15:45:13","VANESSA.ALVES","11/12/2017 17:29:55","VANESSA.ALVES","","","","","","","","1","5","",""
"472","305"," ","","","1","1","USR","290","EML","23","","","28/04/2017 08:44:34","VANESSA.ALVES","30/11/2017 17:25:05","VANESSA.ALVES","","","","","","","","1","5","",""
"478","206"," ","","","1","1","USR","441","EML","72","","","12/06/2017 12:43:56","VANESSA.ALVES","30/11/2017 16:42:04","VANESSA.ALVES","","","","","","","","1","5","",""
"481","206"," ","","","1","1","USR","448","EML","72","","","12/06/2017 12:41:44","VANESSA.ALVES","30/11/2017 16:42:04","VANESSA.ALVES","","","","","","","","1","5","",""
"482","206"," ","","Financ. Colorado","1","1","USR","520","EML","72","","","12/06/2017 12:40:59","VANESSA.ALVES","30/11/2017 16:42:04","VANESSA.ALVES","","","","","","","","1","5","",""
"483","206"," ","1","Financ. Colorado","1","1","USR","127","EML","72","","","12/06/2017 12:39:49","VANESSA.ALVES","30/11/2017 16:42:04","VANESSA.ALVES","","","","","","","","1","5","",""
"484","206"," ","11","Financ. Colorado","1","1","USR","127","EML","72","","","12/06/2017 12:39:48","VANESSA.ALVES","30/11/2017 16:42:04","VANESSA.ALVES","","","","","","","","1","5","",""
"572","285"," ","3","","","","USR","243","EML","4","","","27/06/2017 11:08:41","BRUNA.FELICIO","21/08/2022 14:18:59","VTCCONS","","","","0,00","","","","1","5","",""
"573","285"," ","1","","","","USR","127","EML","4","","","27/06/2017 11:08:40","BRUNA.FELICIO","05/03/2020 12:51:01","DIEGO.MARQUES","","","","0,00","","","","1","5","",""
"610","334"," ","","","","1","USR","448","EML","76","","","27/09/2017 09:12:54","VANESSA.ALVES","30/11/2017 17:31:43","VANESSA.ALVES","","","","","","","","1","5","",""
"622","450"," ","1","","1","1","USR","127","EML","77","","","06/11/2017 15:50:50","BRUNA.FELICIO","11/12/2017 17:27:40","VANESSA.ALVES","","","","","","","","1","5","",""
"626","450"," ","4","","1","1","USR","243","EML","77","","","07/11/2017 10:19:15","BRUNA.FELICIO","21/08/2022 14:25:35","VTCCONS","","","","0,00","","","","1","5","",""
"627","450"," ","5","","1","1","USR","782","EML","77","","","07/11/2017 10:19:14","BRUNA.FELICIO","12/03/2024 08:20:26","LIVIA.SILVA","","","","0,00","","","","1","5","",""
"628","450"," ","3","","1","1","USR","243","EML","77","","","07/11/2017 10:19:13","BRUNA.FELICIO","21/08/2022 14:25:35","VTCCONS","","","","0,00","","","","1","5","",""
"636","940390"," ","3","","1","1","USR","50","EML","78","","","07/11/2017 11:05:59","BRUNA.FELICIO","21/08/2022 14:58:45","VTCCONS","","","","0,00","","","","1","5","",""
"637","940390"," ","9","","1","1","USR","50","EML","78","","","07/11/2017 11:05:59","BRUNA.FELICIO","21/08/2022 14:58:45","VTCCONS","","","","0,00","","","","1","5","",""
"639","940390"," ","2","","1","1","USR","421","EML","78","","","07/11/2017 11:05:58","BRUNA.FELICIO","11/12/2017 17:08:16","VANESSA.ALVES","","","","","","","","1","5","",""
