"SeqPar","SeqGlbPar","NroEmpresa","Campo1","Campo2","Campo3","Campo4","Campo5","Campo6","Numero1","Numero2","Numero3","Numero4","Numero5","Numero6","Data1","Data2","Data3","Data4","Data5","Data6","Literal1","Literal2","Literal3","Literal4","Literal5","Literal6","Literal7","Literal8","Literal9","Literal10","DtaAlteracao","UsuAlteracao","SimNao1","SimNao2","SimNao3","SimNao4","SimNao5","SimNao6","SimNao7","SimNao8","SimNao9","SimNao10"
"10580","9401","0","John Deere","d) de 70 a 79 CV","","","","","","","","","","","","","","","","","TR5070E","","","","","","","","","","15/01/2025 15:00:00","NETO.PRADO","1","","","","","","","","",""
"10581","9401","0","John Deere","","","","","","","","","","","","","","","","","","5078E MAR I","","","","","","","","","","10/09/2025 08:07:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10582","9401","0","John Deere","","","","","","","","","","","","","","","","","","5078E CAB MAR I","","","","","","","","","","10/09/2025 08:07:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10583","9401","0","John Deere","","","","","","","","","","","","","","","","","","TR5080E","","","","","","","","","","15/01/2025 15:18:00","NETO.PRADO","1","","","","","","","","",""
"10584","9401","0","John Deere","","","","","","","","","","","","","","","","","","TR5080EN","","","","","","","","","","15/01/2025 15:16:00","NETO.PRADO","1","1","","","","","","","",""
"10585","9401","0","John Deere","","","","","","","","","","","","","","","","","","5090E MAR I","","","","","","","","","","10/09/2025 08:12:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10586","9401","0","John Deere","","","","","","","","","","","","","","","","","","5090E CAB MAR I","","","","","","","","","","10/09/2025 08:12:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10589","9400","1","","","","","","","","","","","","","","","","","","","Landini","","","","","","","","","","18/02/2019 10:39:00","DIEGO.MARQUES","1","0","0","0","0","0","0","0","0","0"
"10590","9400","1","","","","","","","","","","","","","","","","","","","Landini","","","","","","","","","","18/02/2019 11:42:00","VANESSA.ALVES","1","0","0","0","0","0","0","0","0","0"
"10591","9401","0","Landini","","","","","","","","","","","","","","","","","","Serie 2","","","","","","","","","","18/02/2019 11:43:00","VANESSA.ALVES","1","","","","","","","","",""
"10592","9413","0","","","","","","","","","","","","","","","","","","","Cooxupe","","","","","","","","","","18/02/2019 11:46:00","VANESSA.ALVES","","","","","","","","","",""
"10593","9401","0","Landini","","","","","","","","","","","","","","","","","","Rex","","","","","","","","","","18/02/2019 21:47:00","DIEGO.MARQUES","0","","","","","","","","",""
"10594","9401","0","Landini","","","","","","","","","","","","","","","","","","Brutus Cabinado","","","","","","","","","","18/02/2019 22:06:00","DIEGO.MARQUES","0","","","","","","","","",""
"10595","9401","0","Landini","","","","","","","","","","","","","","","","","","Serie 7","","","","","","","","","","18/02/2019 22:06:00","DIEGO.MARQUES","0","","","","","","","","",""
"10596","9401","0","Landini","","","","","","","","","","","","","","","","","","Brutus","","","","","","","","","","18/02/2019 22:07:00","DIEGO.MARQUES","0","","","","","","","","",""
"10597","9401","0","Landini","","","","","","","","","","","","","","","","","","LandForce","","","","","","","","","","18/02/2019 22:07:00","DIEGO.MARQUES","0","","","","","","","","",""
"10598","9401","0","Landini","","","","","","","","","","","","","","","","","","Landpower","","","","","","","","","","18/02/2019 22:07:00","DIEGO.MARQUES","0","","","","","","","","",""
"10600","9412","0","John Deere","","","","","","","","","","","","","","","","","","PC323F","Atomizador","","","","","","","","","10/09/2025 09:06:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10601","9412","0","John Deere","","","","","","","","","","","","","","","","","","PC622A","","","","","","","","","","10/09/2025 09:06:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10602","9412","0","John Deere","","","","","","","","","","","","","","","","","","PC625A","","","","","","","","","","10/09/2025 09:05:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10603","9412","0","John Deere","","","","","","","","","","","","","","","","","","PC630A","","","","","","","","","","21/02/2019 22:04:00","DIEGO.MARQUES","0","","","","","","","","",""
"10604","9412","0","John Deere","","","","","","","","","","","","","","","","","","PC635A","","","","","","","","","","21/02/2019 22:04:00","DIEGO.MARQUES","0","","","","","","","","",""
"10605","9412","0","John Deere","","","","","","","","","","","","","","","","","","PK360","","","","","","","","","","21/02/2019 22:05:00","DIEGO.MARQUES","0","","","","","","","","",""
"10606","9412","0","John Deere","","","","","","","","","","","","","","","","","","PM606C","","","","","","","","","","10/09/2025 09:12:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10607","9412","0","John Deere","","","","","","","","","","","","","","","","","","PC622","","","","","","","","","","21/02/2019 22:07:00","DIEGO.MARQUES","0","","","","","","","","",""
"10608","9412","0","John Deere","","","","","","","","","","","","","","","","","","PM 612C","","","","","","","","","","10/09/2025 09:13:00","MATHEUS.AUGUSTO","1","","","","","","","","",""
"10609","9412","0","John Deere","","","","","","","","","","","","","","","","","","PC 730FD","","","","","","","","","","10/09/2025 08:54:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10610","9412","0","John Deere","","","","","","","","","","","","","","","","","","PC319","","","","","","","","","","10/09/2025 09:04:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10611","9412","0","John Deere","","","","","","","","","","","","","","","","","","PC319","","","","","","","","","","10/09/2025 09:05:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10614","9411","0","John Deere","","","","","","","","","","","","","","","","","","PV M4030","","","","","","","","","","06/03/2025 08:40:00","NETO.PRADO","1","","","","","","","","",""
"10639","9405","0","John Deere","","","","","","","","","","","","","","","","","","S760","","","","","","","","","","06/03/2025 08:26:00","NETO.PRADO","0","","","","","","","","",""
"10640","9405","0","John Deere","Corte molinete","","","","","","","","","","","","","","","","","PC730FD","","","","","","","","","","06/03/2025 08:26:00","NETO.PRADO","0","","","","","","","","",""
"10641","9406","0","John Deere","","","","","","","","","","","","","","","","","","PL 2117-16L","Plantandeira John Deere Serie 2100","","","","","","","","","06/03/2025 08:34:00","NETO.PRADO","1","","","","","","","","",""
"10644","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 7180","","","","","","","","","","10/05/2019 10:54:00","DIEGO.MARQUES","1","","","","","","","","",""
"10652","9400","1","","","","","","","","","","","","","","","","","","","Casale","","","","","","","","","","16/05/2019 12:16:00","DIEGO.MARQUES","0","0","0","0","0","0","0","0","1","0"
"10654","9401","0","John Deere","","","","","","","","","","","","","","","","","","TR5090E CAB PADRAO","","","","","","","","","","10/09/2025 08:15:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10655","9401","0","John Deere","","","","","","","","","","","","","","","","","","TR5090E CAB 12x12","","","","","","","","","","15/01/2025 15:21:00","NETO.PRADO","1","","","","","","","","",""
"10656","9411","0","JAN","","","","","","","","","","","","","","","","","","Power Jet","","","","","","","","","","17/05/2019 11:13:00","DIEGO.MARQUES","1","","","","","","","","",""
"10657","9401","0","New Holland","","","","","","","","","","","","","","","","","","TR T6110","","","","","","","","","","17/05/2019 12:37:00","DIEGO.MARQUES","1","","","","","","","","",""
"10660","9401","0","John Deere","","","","","","","","","","","","","","","","","","TR5078E 9x3","","","","","","","","","","22/05/2019 08:38:00","DIEGO.MARQUES","1","","","","","","","","",""
"10661","9401","0","John Deere","","","","","","","","","","","","","","","","","","TR5090E EPC PADRAO","","","","","","","","","","10/09/2025 08:15:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10662","9401","0","John Deere","","","","","","","","","","","","","","","","","","TR5060E CAB 9X3","","","","","","","","","","06/03/2025 08:57:00","NETO.PRADO","1","","","","","","","","",""
"10663","9401","0","New Holland","","","","","","","","","","","","","","","","","","T7 175","","","","","","","","","","22/05/2019 14:02:00","DIEGO.MARQUES","1","","","","","","","","",""
"10665","9401","0","New Holland","","","","","","","","","","","","","","","","","","T7 240","","","","","","","","","","23/05/2019 09:15:00","DIEGO.MARQUES","1","","","","","","","","",""
"10666","9401","0","New Holland","","","","","","","","","","","","","","","","","","NH CR7.80","","","","","","","","","","23/05/2019 16:34:00","DIEGO.MARQUES","1","","","","","","","","",""
"10667","9405","0","New Holland","","","","","","","","","","","","","","","","","","CR5.85","","","","","","","","","","23/05/2019 17:15:00","DIEGO.MARQUES","1","","","","","","","","",""
