"Origem","Tabela","ChaveN1","ChaveN2","ChaveStr","ChaveLocalN1","ChaveLocalN2","ChaveLocalStr","DtaAlteracao","IndMudanca"
"IMPORTAÇÃO","IV_ACAOAUTO","2145","0","x","6080","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2221","0","x","6081","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2222","0","x","6082","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2223","0","x","6083","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2224","0","x","6084","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2225","0","x","6085","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2226","0","x","6086","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2228","0","x","6087","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2229","0","x","6088","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2230","0","x","6089","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2231","0","x","6090","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2232","0","x","6091","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2233","0","x","6092","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2235","0","x","6093","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2236","0","x","6094","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2237","0","x","6095","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2238","0","x","6096","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2239","0","x","6097","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2240","0","x","6098","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2241","0","x","6099","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2242","0","x","6100","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2243","0","x","6101","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2244","0","x","6102","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2245","0","x","6103","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2246","0","x","6104","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2247","0","x","6105","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2248","0","x","6106","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2249","0","x","6107","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2250","0","x","6108","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2251","0","x","6109","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2252","0","x","6110","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2253","0","x","6111","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2254","0","x","6112","0","x","22/11/2024 14:10:11","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2255","0","x","6113","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2256","0","x","6114","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2257","0","x","6115","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2258","0","x","6116","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2259","0","x","6117","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2260","0","x","6118","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2261","0","x","6119","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2262","0","x","6120","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2263","0","x","6121","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2264","0","x","6122","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2265","0","x","6123","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2266","0","x","6124","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2267","0","x","6125","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2268","0","x","6126","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2269","0","x","6127","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2270","0","x","6128","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2271","0","x","6129","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2272","0","x","6130","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2273","0","x","6131","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2274","0","x","6132","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2275","0","x","6133","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2276","0","x","6134","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2277","0","x","6135","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2286","0","x","6136","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2287","0","x","6137","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2288","0","x","6138","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2289","0","x","6139","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2290","0","x","6140","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2291","0","x","6141","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2321","0","x","6142","0","x","22/11/2024 14:10:12","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2322","0","x","6143","0","x","22/11/2024 14:10:13","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2323","0","x","6144","0","x","22/11/2024 14:10:13","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2324","0","x","6145","0","x","22/11/2024 14:10:13","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2325","0","x","6146","0","x","22/11/2024 14:10:13","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2326","0","x","6147","0","x","22/11/2024 14:10:13","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2327","0","x","6148","0","x","22/11/2024 14:10:13","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2328","0","x","6149","0","x","22/11/2024 14:10:13","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2329","0","x","6150","0","x","22/11/2024 14:10:13","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2330","0","x","6151","0","x","22/11/2024 14:10:13","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2331","0","x","6152","0","x","22/11/2024 14:10:13","1"
