"SeqCbrCritDef","SeqCbrCriterio","Origem","NroEmpresa","Departamento","Especie","TipoCobranca","IndCobrJuridica","LocalCobranca","VlrAberto","DiasAbertoDe","DiasAbertoAte","AtividadePessoa","FisicaJuridica","diasvencidode","diasvencidoate"
"222","80","Protheus","2","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"223","3","Protheus","3","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"224","86","Protheus","3","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"225","4","Protheus","4","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"226","92","Protheus","4","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"227","5","Protheus","5","** Todos **","BL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"228","98","Protheus","5","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"229","6","Protheus","7","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"230","102","Protheus","7","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"231","7","Protheus","9","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"232","115","Protheus","9","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"233","70","Protheus","11","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"234","10","Protheus","12","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"235","76","Protheus","12","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"236","13","Protheus","2","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","3","45"
"237","81","Protheus","2","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"238","14","Protheus","3","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","3","45"
"239","87","Protheus","3","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"240","17","Protheus","4","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","3","45"
"241","93","Protheus","4","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"242","41","Protheus","5","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","3","45"
"243","101","Protheus","5","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"244","18","Protheus","7","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","3","45"
"245","103","Protheus","7","** Todos **","CH","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"246","43","Protheus","9","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","3","45"
"247","118","Protheus","9","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"248","44","Protheus","10","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","3","45"
"249","69","Protheus","10","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"250","15","Protheus","11","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","3","45"
"251","71","Protheus","11","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"252","46","Protheus","12","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","3","45"
"253","79","Protheus","12","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","46","9999"
