"SeqPropriedade","Propriedade","Pcte","Nivel","NivelIdentificador","CampoListar","MostraRef","Usacomplemento","TipoRefVinculado","UmPorPessoa","ReferenciaSQL","Campo1","Campo1Sql","Campo2","Campo2Sql","Campo3","Campo3Sql","Campo4","Campo4Sql","Campo5","Campo5Sql","Campo6","Campo6Sql","Numero1","Numero2","Numero3","Numero4","Numero5","Numero6","Data1","Data2","Data3","Data4","Data5","Data6","SimNao1","SimNao2","SimNao3","SimNao4","SimNao5","SimNao6","Literal1","Literal2","Literal3","Literal4","Literal5","Literal6","Literal7","Literal8","Literal9","Literal10","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","ReferenciaDesc","Literal1Sql","Literal2Sql","Literal3Sql","Literal4Sql","Literal5Sql","Literal6Sql","Literal7Sql","Literal8Sql","Literal9Sql","Literal10Sql","CAMPO7","CAMPO8","CAMPO7SQL","CAMPO8SQL"
"9613","NO-FAZENDA","","","8","IDENTIFICADOR","S","N","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","Nome da Fazenda","CNPJ","Município","I.E.","Área","","","","","","17/11/2008 00:00:00","VTCSUPER","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
"9614","NO-JOHN DEERE","","","8","CAMPO1","S","N","","0","0","Tipo","0","Combustiverl","0","Novo_Usado","0","Forma de Compra","0","","0","","0","Ano Modelo","Ano Fabricação","Valor compra","","","","Data Venda","","","","","","","","","","","","Revenda","Vendedor","","","Cor","Frota","","","","","13/03/2009 00:00:00","VTCSUPER","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
"9615","NO-SITIO","","","8","IDENTIFICADOR","S","N","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","Nome","Municipio","CNPJ","IE","","","","","","","20/03/2009 00:00:00","VTCSUPER","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
"9616","NO-CHÁCARA","","","3","LITERAL1","S","N","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","Endereço","Municipio","CNPJ","IE","","","","","","","20/03/2009 00:00:00","VTCSUPER","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
"9617","NO-ESTÂNCIA","","","3","LITERAL1","S","N","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","Endereço","Municipio","CNPJ","I.E.","","","","","","","20/03/2009 00:00:00","VTCSUPER","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
"9618","NO-PROPRIEDADE RURAL","","","8","","S","N","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","Nome:","Endereço:","I.E.","CNPJ:","CEP:","CIDADE:","","","","","22/07/2009 00:00:00","VTCCONS","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
"9619","NO-MÁQUINA/IMPLEMENT","","","3","CAMPO3","N","S","","0","1","Marca*","1","","0","Modelo*","1","CódModelo","1","Novo/Usado","0","","0","Ano Fabric","Horímetro","","","","","","","","","","","Segurado","","","","","","Frota","","","","","","","","","","","","04/07/2018 00:00:00","VTCCONS","Tipo*","0","0","0","0","0","0","0","0","0","0","","","0","0"
"9620","NO-VEÍCULO","","","3","CAMPO3","N","S","","0","1","Marca*","1","","0","Modelo*","1","CódModelo*","1","Novo/Usado","0","","0","Ano Fabric*","","","","","","","","","","","","Segurado","","","","","","Frota","","","","","","","","","","","","10/06/2021 00:00:00","VTCCONS","Tipo*","0","0","0","0","0","0","0","0","0","0","","","0","0"
"9621","NO-IMOVEL","","","3","CAMPO1","N","S","","0","1","Marca*","1","","0","","0","","0","","0","","0","","","","","","","","","","","","","Segurado","","","","","","","","","","","","","","","","","","10/06/2021 00:00:00","VTCCONS","Tipo*","0","0","0","0","0","0","0","0","0","0","","","0","0"
"9622","NO-SEGURO DE VIDA","","","3","CAMPO1","N","S","","0","1","Marca*","1","","0","","0","","0","","0","","0","","","","","","","","","","","","","Segurado","","","","","","","","","","","","","","","","","","10/06/2021 00:00:00","VTCCONS","Tipo*","0","0","0","0","0","0","0","0","0","0","","","0","0"
