"CodModelo","ModoSimples","TipoObj","ChaveObj","PosLeft","PosTop","IndCor","Dados","IndMudanca"
"47","0","RES","3336","2572","913","-1","","9"
"47","0","RES","3338","2563","561","-1","","9"
"47","0","RES","3341","2684","242","-1","","9"
"47","0","RES","3342","2572","978","-1","","9"
"47","0","RES","3344","2563","626","-1","","9"
"47","0","RES","3347","2684","307","-1","","9"
"47","0","RES","3348","2572","1043","-1","","9"
"47","0","RES","3350","2563","691","-1","","9"
"47","0","RES","3351","3303","1176","-1","","9"
"47","0","RES","3353","2684","372","-1","","9"
"47","0","RES","3354","2563","756","-1","","9"
"47","0","RES","3356","2572","1108","-1","","9"
"47","0","RES","3357","3303","1241","-1","","9"
"47","0","RES","3360","2563","951","-1","","9"
"47","0","RES","3361","3655","1176","-1","","9"
"47","0","RES","3364","2563","1016","-1","","9"
"47","0","RES","3365","3655","1241","-1","","9"
"47","0","RES","3368","2563","1081","-1","","9"
"47","0","RES","3369","3655","1306","-1","","9"
"47","0","RES","3373","2563","1146","-1","","9"
"47","0","RES","3374","3655","1371","-1","","9"
"47","0","RES","3379","2684","437","-1","","9"
"47","0","RES","3380","2572","1173","-1","","9"
"47","0","RES","3382","2563","821","-1","","9"
"47","0","RES","3383","3303","1306","-1","","9"
"47","0","RES","3385","2563","1211","-1","","9"
"47","0","RES","3386","3655","1436","-1","","9"
"47","0","RES","3389","2684","502","-1","","9"
"47","0","RES","3390","2572","1238","-1","","9"
"47","0","RES","3392","2563","886","-1","","9"
"47","0","RES","3395","2563","1276","-1","","9"
"47","0","RES","3396","3655","1501","-1","","9"
"47","0","RES","3470","1057","280","-1","","9"
"47","0","RES","3494","395","794","-1","","9"
"47","0","RES","3601","1057","345","-1","","9"
"47","0","RES","3602","1057","410","-1","","9"
"47","0","RES","3603","1057","475","-1","","9"
"47","0","RES:Recebido","3466","350","980","-1","","9"
"47","0","RES:Recurso Próprio","3440","350","2085","-1","","9"
"47","0","RES:Serviços Oficina","3223","951","581","-1","","9"
"47","0","RES:Serviços Oficina","3708","951","581","-1","","1"
"48","0","ACAO","724","650","140","0","","9"
"48","0","ACAO","725","650","4222","12","","9"
"48","0","ACAO","726","650","3412","10","","9"
"48","0","ACAO","727","650","5188","0","","9"
"48","0","ACAO","728","650","5466","1","","9"
"48","0","ACAO","729","650","4544","13","","9"
"48","0","ACAO","730","650","4866","14","","9"
"48","0","ACAO","731","1450","2902","8","","9"
"48","0","ACAO","732","1450","2580","7","","9"
"48","0","ACAO","733","1450","4048","10","","9"
"48","0","ACAO","734","650","592","4","","9"
"48","0","ACAO","735","650","1010","5","","9"
"48","0","ACAO","736","650","2924","9","","9"
"48","0","ACAO","737","650","5744","2","","9"
"48","0","ACAO","738","1450","3180","9","","9"
"48","0","ACAO","739","1450","1652","5","","9"
"48","0","ACAO","740","1450","1008","3","","9"
"48","0","ACAO","741","650","2470","8","","9"
"48","0","ACAO","742","1450","5562","14","","9"
"48","0","ACAO","743","1450","5284","13","","9"
"48","0","ACAO","744","1450","1286","4","","9"
